component	stdv	percent	cumulative
PC1	63.7700731389232	44.59	0.44595
PC2	34.141318427883	12.78	0.57377
PC3	22.6814359658325	5.64	0.63019
PC4	20.4415991270207	4.58	0.67601
PC5	15.1460852625713	2.52	0.70117
PC6	14.0143010949955	2.15	0.72271
PC7	13.5005571559513	2	0.74269
PC8	12.4260059263594	1.69	0.75963
PC9	11.5832917088337	1.47	0.77434
PC10	11.1909378267005	1.37	0.78807
PC11	10.7886020404868	1.28	0.80084
PC12	10.2565997948227	1.15	0.81237
PC13	10.1139834250414	1.12	0.82359
PC14	9.70681667927294	1.03	0.83392
PC15	9.50598667700159	0.99	0.84383
PC16	9.09099915744737	0.91	0.8529
PC17	8.96838018577401	0.88	0.86172
PC18	8.74180155597817	0.84	0.8701
PC19	8.39551909508757	0.77	0.87783
PC20	8.31308973367843	0.76	0.8854
PC21	8.03410271365264	0.71	0.89248
PC22	7.95123289543937	0.69	0.89942
PC23	7.916767024839	0.69	0.90629
PC24	7.75899057796481	0.66	0.91289
PC25	7.52819877204292	0.62	0.91911
PC26	7.46746396133366	0.61	0.92522
PC27	7.37553874166647	0.6	0.93119
PC28	7.21242043816127	0.57	0.93689
PC29	7.11504598009657	0.56	0.94244
PC30	7.07217249705956	0.55	0.94793
PC31	7.04381287922609	0.54	0.95337
PC32	7.00020830342741	0.54	0.95874
PC33	6.85269841394519	0.52	0.96389
PC34	6.73125917254764	0.5	0.96886
PC35	6.6736815186298	0.49	0.97374
PC36	6.61608762236412	0.48	0.97854
PC37	6.52873687466458	0.47	0.98322
PC38	6.45946119026424	0.46	0.98779
PC39	6.18652501751811	0.42	0.99199
PC40	6.08428796986094	0.41	0.99605
PC41	6.00149851140865	0.4	1
PC42	1.28294118381324e-13	0	1
