Sample	N	Threshold
H_1975_1	3509	0
H_1975_2	2101	0
H_1975_3	3492	0
PC9_epitope_1	2804	0
PC9_epitope_2	2394	0
PC9_epitope_4	2380	0
PC9_epitope_5	3101	0
PC9_epitope_6	1520	0
H_1975_1	3509	1
H_1975_2	2101	1
H_1975_3	3492	1
PC9_epitope_1	2804	1
PC9_epitope_2	2394	1
PC9_epitope_4	2380	1
PC9_epitope_5	3101	1
PC9_epitope_6	1520	1
H_1975_1	3509	2
H_1975_2	2101	2
H_1975_3	3492	2
PC9_epitope_1	2804	2
PC9_epitope_2	2394	2
PC9_epitope_4	2380	2
PC9_epitope_5	3101	2
PC9_epitope_6	1520	2
H_1975_1	3509	3
H_1975_2	2101	3
H_1975_3	3492	3
PC9_epitope_1	2804	3
PC9_epitope_2	2394	3
PC9_epitope_4	2380	3
PC9_epitope_5	3101	3
PC9_epitope_6	1520	3
H_1975_1	3509	4
H_1975_2	2101	4
H_1975_3	3492	4
PC9_epitope_1	2804	4
PC9_epitope_2	2394	4
PC9_epitope_4	2380	4
PC9_epitope_5	3101	4
PC9_epitope_6	1520	4
H_1975_1	3492	5
H_1975_2	2099	5
H_1975_3	3482	5
PC9_epitope_1	2804	5
PC9_epitope_2	2394	5
PC9_epitope_4	2380	5
PC9_epitope_5	3101	5
PC9_epitope_6	1520	5
H_1975_1	2140	6
H_1975_2	1439	6
H_1975_3	2405	6
PC9_epitope_1	2803	6
PC9_epitope_2	2328	6
PC9_epitope_4	2210	6
PC9_epitope_5	3079	6
PC9_epitope_6	1480	6
H_1975_1	326	7
H_1975_2	352	7
H_1975_3	489	7
PC9_epitope_1	1070	7
PC9_epitope_2	724	7
PC9_epitope_4	360	7
PC9_epitope_5	437	7
PC9_epitope_6	473	7
H_1975_1	18	8
H_1975_2	28	8
H_1975_3	39	8
PC9_epitope_1	126	8
PC9_epitope_2	55	8
PC9_epitope_4	17	8
PC9_epitope_5	28	8
PC9_epitope_6	27	8
H_1975_1	1	9
H_1975_2	4	9
H_1975_3	5	9
PC9_epitope_1	3	9
PC9_epitope_2	1	9
PC9_epitope_4	0	9
PC9_epitope_5	0	9
PC9_epitope_6	0	9
H_1975_1	0	10
H_1975_2	0	10
H_1975_3	0	10
PC9_epitope_1	0	10
PC9_epitope_2	0	10
PC9_epitope_4	0	10
PC9_epitope_5	0	10
PC9_epitope_6	0	10
